Date : 2023-09-10 21:33:33
Directory : /Users/emirhaneyidogan/Projeler/unilocked-website
Total : 433 files,  50074 codes, 271 comments, 3282 blanks, all 53627 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/company-card/company-card.component.ts                         | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/events-card/events-card.component.html                         | HTML               |         51 |          0 |          0 |         51 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/events-card/events-card.component.scss                         | SCSS               |        234 |          0 |         27 |        261 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/events-card/events-card.component.spec.ts                      | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/events-card/events-card.component.ts                           | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/job-card/job-card.component.html                               | HTML               |         38 |          0 |          1 |         39 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/job-card/job-card.component.scss                               | SCSS               |        223 |          0 |         27 |        250 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/job-card/job-card.component.spec.ts                            | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/job-card/job-card.component.ts                                 | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/person-card/person-card.component.html                         | HTML               |         48 |          0 |          3 |         51 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/person-card/person-card.component.scss                         | SCSS               |        210 |          0 |         24 |        234 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/person-card/person-card.component.spec.ts                      | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/person-card/person-card.component.ts                           | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/project-post-card/project-post-card.component.html             | HTML               |         46 |          0 |          2 |         48 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/project-post-card/project-post-card.component.scss             | SCSS               |        266 |          0 |         33 |        299 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/project-post-card/project-post-card.component.spec.ts          | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/catalog-cards/project-post-card/project-post-card.component.ts               | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/discovery-catalog.component.html                                             | HTML               |        131 |          0 |          6 |        137 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/discovery-catalog.component.scss                                             | SCSS               |         83 |          0 |          4 |         87 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/discovery-catalog.component.spec.ts                                          | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/discovery-catalog/discovery-catalog.component.ts                                               | TypeScript         |         27 |          0 |          2 |         29 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/event-details/event-details.component.html                                                     | HTML               |        553 |          0 |          2 |        555 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/event-details/event-details.component.scss                                                     | SCSS               |        653 |          2 |         75 |        730 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/event-details/event-details.component.spec.ts                                                  | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/event-details/event-details.component.ts                                                       | TypeScript         |        204 |          0 |         20 |        224 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/events/events-extended/events-extended.component.html                                          | HTML               |         59 |          0 |          5 |         64 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/events/events-extended/events-extended.component.scss                                          | SCSS               |         55 |          0 |         13 |         68 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/events/events-extended/events-extended.component.spec.ts                                       | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/events/events-extended/events-extended.component.ts                                            | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/events/events.component.html                                                                   | HTML               |         84 |          0 |         10 |         94 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/events/events.component.scss                                                                   | SCSS               |         49 |          0 |         13 |         62 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/events/events.component.spec.ts                                                                | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/events/events.component.ts                                                                     | TypeScript         |         24 |          0 |         11 |         35 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/explore/explore.component.html                                                                 | HTML               |          1 |          0 |          0 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/explore/explore.component.scss                                                                 | SCSS               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/explore/explore.component.spec.ts                                                              | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/explore/explore.component.ts                                                                   | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/friends/friends.component.html                                                                 | HTML               |        100 |          0 |          1 |        101 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/friends/friends.component.scss                                                                 | SCSS               |         88 |          0 |         17 |        105 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/friends/friends.component.spec.ts                                                              | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/friends/friends.component.ts                                                                   | TypeScript         |         24 |          0 |          7 |         31 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/homepage/homepage.component.html                                                               | HTML               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/homepage/homepage.component.scss                                                               | SCSS               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/homepage/homepage.component.spec.ts                                                            | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/homepage/homepage.component.ts                                                                 | TypeScript         |         13 |          0 |          6 |         19 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/job-posting/job-posting.component.html                                                         | HTML               |        255 |          0 |          3 |        258 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/job-posting/job-posting.component.scss                                                         | SCSS               |        260 |          0 |         30 |        290 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/job-posting/job-posting.component.spec.ts                                                      | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/job-posting/job-posting.component.ts                                                           | TypeScript         |         92 |          0 |         10 |        102 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/animated-counter.directive.spec.ts                                        | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/animated-counter.directive.ts                                             | TypeScript         |         27 |          0 |          6 |         33 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/guest-home.component.html                                                 | HTML               |        609 |          0 |          5 |        614 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/guest-home.component.scss                                                 | SCSS               |        746 |          2 |         81 |        829 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/guest-home.component.spec.ts                                              | TypeScript         |         19 |          0 |          9 |         28 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/guest-home.component.ts                                                   | TypeScript         |         25 |         54 |         23 |        102 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/home-partners/home-partners.component.html                                | HTML               |         30 |          0 |          1 |         31 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/home-partners/home-partners.component.scss                                | SCSS               |         81 |          0 |         13 |         94 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/home-partners/home-partners.component.spec.ts                             | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/home-partners/home-partners.component.ts                                  | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/planet-left/planet-left.component.html                                    | HTML               |        268 |          0 |          2 |        270 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/planet-left/planet-left.component.scss                                    | SCSS               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/planet-left/planet-left.component.spec.ts                                 | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/planet-left/planet-left.component.ts                                      | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/planet-right/planet-right.component.html                                  | HTML               |          4 |          0 |          1 |          5 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/planet-right/planet-right.component.scss                                  | SCSS               |         32 |          2 |          5 |         39 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/planet-right/planet-right.component.spec.ts                               | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/guest-home/planet-right/planet-right.component.ts                                    | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/home.service.spec.ts                                                                 | TypeScript         |         12 |          0 |          5 |         17 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/home.service.ts                                                                      | TypeScript         |         18 |          0 |          4 |         22 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/main-home.component.html                                                             | HTML               |         11 |          0 |          3 |         14 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/main-home.component.scss                                                             | SCSS               |          7 |          0 |          0 |          7 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/main-home.component.spec.ts                                                          | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/main-home.component.ts                                                               | TypeScript         |         12 |          0 |          6 |         18 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/user-home/user-home.component.html                                                   | HTML               |         82 |          0 |          2 |         84 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/user-home/user-home.component.scss                                                   | SCSS               |        128 |          0 |         30 |        158 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/user-home/user-home.component.spec.ts                                                | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/main-home/user-home/user-home.component.ts                                                     | TypeScript         |         75 |          0 |         18 |         93 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/messages/messages.component.html                                                               | HTML               |          1 |          0 |          0 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/messages/messages.component.scss                                                               | SCSS               |        370 |          0 |         52 |        422 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/messages/messages.component.spec.ts                                                            | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/messages/messages.component.ts                                                                 | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/messages/tabs/messages-main/messages-main.component.html                                       | HTML               |        279 |          0 |          1 |        280 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/messages/tabs/messages-main/messages-main.component.scss                                       | SCSS               |        365 |          0 |         52 |        417 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/messages/tabs/messages-main/messages-main.component.spec.ts                                    | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/messages/tabs/messages-main/messages-main.component.ts                                         | TypeScript         |          8 |          0 |          3 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/notifications/notifications.component.html                                                     | HTML               |         59 |          0 |          1 |         60 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/notifications/notifications.component.scss                                                     | SCSS               |         95 |          0 |         18 |        113 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/notifications/notifications.component.spec.ts                                                  | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/notifications/notifications.component.ts                                                       | TypeScript         |         22 |          0 |          6 |         28 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/panels/panel.scss                                                                       | SCSS               |         85 |          0 |         16 |        101 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/panels/people-home/people-home.component.html                                           | HTML               |         86 |          0 |          2 |         88 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/panels/people-home/people-home.component.scss                                           | SCSS               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/panels/people-home/people-home.component.spec.ts                                        | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/panels/people-home/people-home.component.ts                                             | TypeScript         |         23 |          0 |          7 |         30 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/panels/people-professionals/people-professionals.component.html                         | HTML               |          1 |          0 |          1 |          2 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/panels/people-professionals/people-professionals.component.scss                         | SCSS               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/panels/people-professionals/people-professionals.component.spec.ts                      | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/panels/people-professionals/people-professionals.component.ts                           | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/panels/people-students/people-students.component.html                                   | HTML               |          1 |          0 |          1 |          2 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/panels/people-students/people-students.component.scss                                   | SCSS               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/panels/people-students/people-students.component.spec.ts                                | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/panels/people-students/people-students.component.ts                                     | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/people-extended/people-extended.component.html                                          | HTML               |        189 |          0 |          0 |        189 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/people-extended/people-extended.component.scss                                          | SCSS               |         94 |          0 |         17 |        111 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/people-extended/people-extended.component.spec.ts                                       | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/people-extended/people-extended.component.ts                                            | TypeScript         |         20 |          0 |          3 |         23 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/people.component.html                                                                   | HTML               |         19 |          0 |          1 |         20 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/people.component.scss                                                                   | SCSS               |         13 |          0 |          4 |         17 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/people.component.spec.ts                                                                | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/people/people.component.ts                                                                     | TypeScript         |         12 |          0 |          7 |         19 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/posts/posts.service.spec.ts                                                                    | TypeScript         |         12 |          0 |          5 |         17 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/posts/posts.service.ts                                                                         | TypeScript         |         44 |          0 |          8 |         52 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/community-profile/community-profile.component.html                                    | HTML               |          1 |          0 |          0 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/community-profile/community-profile.component.scss                                    | SCSS               |          0 |          0 |          1 |          1 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/community-profile/community-profile.component.spec.ts                                 | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/community-profile/community-profile.component.ts                                      | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/profile-content/profile-content.component.html                                        | HTML               |          6 |          0 |          1 |          7 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/profile-content/profile-content.component.scss                                        | SCSS               |         32 |          0 |          3 |         35 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/profile-content/profile-content.component.spec.ts                                     | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/profile-content/profile-content.component.ts                                          | TypeScript         |         12 |          0 |          6 |         18 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/user-profile/user-highlights/user-highlights.component.html                           | HTML               |         34 |          0 |          1 |         35 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/user-profile/user-highlights/user-highlights.component.scss                           | SCSS               |          6 |          0 |          0 |          6 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/user-profile/user-highlights/user-highlights.component.spec.ts                        | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/user-profile/user-highlights/user-highlights.component.ts                             | TypeScript         |        155 |          0 |          9 |        164 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/user-profile/user-posts/user-posts.component.html                                     | HTML               |         39 |          0 |          1 |         40 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/user-profile/user-posts/user-posts.component.scss                                     | SCSS               |          9 |          0 |          2 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/user-profile/user-posts/user-posts.component.spec.ts                                  | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/user-profile/user-posts/user-posts.component.ts                                       | TypeScript         |        155 |          0 |          9 |        164 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/user-profile/user-profile.component.html                                              | HTML               |        457 |          0 |          1 |        458 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/user-profile/user-profile.component.scss                                              | SCSS               |        458 |          1 |         85 |        544 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/user-profile/user-profile.component.spec.ts                                           | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/profiles/user-profile/user-profile.component.ts                                                | TypeScript         |        155 |          0 |          9 |        164 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/components/project-card/project-card.component.html                                   | HTML               |         56 |          0 |          0 |         56 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/components/project-card/project-card.component.scss                                   | SCSS               |         74 |          4 |         24 |        102 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/components/project-card/project-card.component.spec.ts                                | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/components/project-card/project-card.component.ts                                     | TypeScript         |         13 |          0 |          6 |         19 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/projects-extended/projects-extended.component.html                                    | HTML               |         28 |          0 |          7 |         35 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/projects-extended/projects-extended.component.scss                                    | SCSS               |         11 |          0 |          2 |         13 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/projects-extended/projects-extended.component.spec.ts                                 | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/projects-extended/projects-extended.component.ts                                      | TypeScript         |         48 |          0 |          4 |         52 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/projects.component.html                                                               | HTML               |         17 |          0 |          1 |         18 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/projects.component.scss                                                               | SCSS               |          7 |          0 |          4 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/projects.component.spec.ts                                                            | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/projects.component.ts                                                                 | TypeScript         |         12 |          0 |          7 |         19 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/my-projects/my-projects.component.html                                           | HTML               |         29 |          0 |          3 |         32 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/my-projects/my-projects.component.scss                                           | SCSS               |          5 |          0 |          2 |          7 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/my-projects/my-projects.component.spec.ts                                        | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/my-projects/my-projects.component.ts                                             | TypeScript         |         48 |          0 |          4 |         52 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/projects-from-communities/projects-from-communities.component.html               | HTML               |         26 |          0 |          1 |         27 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/projects-from-communities/projects-from-communities.component.scss               | SCSS               |          3 |          0 |          0 |          3 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/projects-from-communities/projects-from-communities.component.spec.ts            | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/projects-from-communities/projects-from-communities.component.ts                 | TypeScript         |         49 |          0 |          6 |         55 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/projects-from-friends/projects-from-friends.component.html                       | HTML               |         26 |          0 |          1 |         27 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/projects-from-friends/projects-from-friends.component.scss                       | SCSS               |          3 |          0 |          0 |          3 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/projects-from-friends/projects-from-friends.component.spec.ts                    | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/projects-from-friends/projects-from-friends.component.ts                         | TypeScript         |         49 |          0 |          6 |         55 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/projects-home/projects-home.component.html                                       | HTML               |         26 |          0 |          1 |         27 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/projects-home/projects-home.component.scss                                       | SCSS               |          3 |          0 |          5 |          8 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/projects-home/projects-home.component.spec.ts                                    | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/projects/tabs/projects-home/projects-home.component.ts                                         | TypeScript         |         48 |          0 |          4 |         52 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/saved/panels/saved-posts/saved-posts.component.html                                            | HTML               |          5 |          0 |          1 |          6 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/saved/panels/saved-posts/saved-posts.component.scss                                            | SCSS               |         18 |          0 |          4 |         22 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/saved/panels/saved-posts/saved-posts.component.spec.ts                                         | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/saved/panels/saved-posts/saved-posts.component.ts                                              | TypeScript         |         46 |          0 |         15 |         61 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/saved/saved.component.html                                                                     | HTML               |         10 |          0 |          1 |         11 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/saved/saved.component.scss                                                                     | SCSS               |          4 |          0 |          1 |          5 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/saved/saved.component.spec.ts                                                                  | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/saved/saved.component.ts                                                                       | TypeScript         |         43 |          0 |         14 |         57 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/school/school.component.html                                                                   | HTML               |        615 |          0 |         11 |        626 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/school/school.component.scss                                                                   | SCSS               |        402 |          0 |         46 |        448 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/school/school.component.spec.ts                                                                | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/school/school.component.ts                                                                     | TypeScript         |        102 |          0 |          7 |        109 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/search-results.component.html                                                   | HTML               |         32 |          0 |          1 |         33 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/search-results.component.scss                                                   | SCSS               |         14 |          1 |          6 |         21 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/search-results.component.spec.ts                                                | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/search-results/search-results.component.ts                                                     | TypeScript         |         33 |          0 |         12 |         45 |
